ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300045.SZ,20240712,17.46,17.6,17.21,17.55,17.53,0.02,0.1141,161946.71,282436.991
300045.SZ,20240711,17.5,17.6,17.15,17.53,17.14,0.39,2.2754,209809.28,365646.611
300045.SZ,20240710,17.19,17.47,17.11,17.14,17.26,-0.12,-0.6952,142218.23,246187.425
300045.SZ,20240709,16.72,17.37,16.55,17.26,16.74,0.52,3.1063,211066.72,361916.705
300045.SZ,20240708,16.96,17.14,16.68,16.74,16.96,-0.22,-1.2972,124141,208814.447
300045.SZ,20240705,17.04,17.19,16.71,16.96,17.04,-0.08,-0.4695,141296.42,239196.911
300045.SZ,20240704,17.5,17.72,17.03,17.04,17.53,-0.49,-2.7952,147134.02,255067.429
300045.SZ,20240703,17.77,17.83,17.42,17.53,17.81,-0.28,-1.5722,135097,237825.535
300045.SZ,20240702,17.68,18.19,17.6,17.81,17.66,0.15,0.8494,214859.99,385574.256
300045.SZ,20240701,17.5,17.7,17.27,17.66,17.65,0.01,0.0567,163789.98,286007.333
300045.SZ,20240628,17.18,18.3,17.18,17.65,17.16,0.49,2.8555,285540.05,508324.418
300045.SZ,20240627,17.85,17.96,17.13,17.16,17.88,-0.72,-4.0268,236193,413640.985
300045.SZ,20240626,16.51,17.99,16.19,17.88,16.48,1.4,8.4951,325510.33,562419.73
300045.SZ,20240625,16.76,17.08,16.25,16.48,16.8,-0.32,-1.9048,192751.82,320825.56
300045.SZ,20240624,17.58,17.63,16.75,16.8,17.63,-0.83,-4.7079,196183,336182.728
300045.SZ,20240621,17.9,17.94,17.57,17.63,17.98,-0.35,-1.9466,155686.75,276012.489
300045.SZ,20240620,18.67,18.71,17.98,17.98,18.8,-0.82,-4.3617,209519.64,382950.32
300045.SZ,20240619,18.78,19.08,18.63,18.8,18.8,0,0,221995.44,417754.834
300045.SZ,20240618,18.47,18.95,18.45,18.8,18.53,0.27,1.4571,253374.55,475605.067
300045.SZ,20240617,18.03,18.78,18,18.53,18.11,0.42,2.3192,286464.98,529710.222
300045.SZ,20240614,18.24,18.41,18,18.11,18.25,-0.14,-0.7671,268943,489280.418
300045.SZ,20240613,18.35,18.55,18.18,18.25,18.41,-0.16,-0.8691,201409,369626.068
300045.SZ,20240612,18.02,18.67,17.95,18.41,18.13,0.28,1.5444,244883.25,449921.659
300045.SZ,20240611,17.6,18.27,17.32,18.13,17.76,0.37,2.0833,188532.04,337090.674
300045.SZ,20240607,17.62,17.88,17.3,17.76,17.44,0.32,1.8349,209388.16,368649.174
